
y    x
1 -- 15380
2 -- 10810
3 -- 8510
4 -- 6780
5 -- 5500
10 -- 2750
50 -- 686.11
100 -- 351.2
500 -- 71.65
1000 -- 35.91

15380, 1
10810, 2
8510, 3
6780, 4
5500, 5
2750, 10
686.1, 50
351.2, 100
71.65, 500
35.91, 1000

15.380, 1
10.810, 2
8.510, 3
6.780, 4
5.500, 5
2.750, 10
0.6861, 50
0.3512, 100
0.07165, 500
0.03591, 1000
